#,datetime,ms,OperatingSystemImpl.CommittedVirtualMemorySize
51,Thu Apr 13 11:28:09 CEST 2017,1492075689178,269578240
52,Thu Apr 13 11:28:09 CEST 2017,1492075689378,269578240
53,Thu Apr 13 11:28:09 CEST 2017,1492075689578,269578240
54,Thu Apr 13 11:28:09 CEST 2017,1492075689778,269578240
55,Thu Apr 13 11:28:09 CEST 2017,1492075689978,269578240
56,Thu Apr 13 11:28:10 CEST 2017,1492075690178,269578240
57,Thu Apr 13 11:28:10 CEST 2017,1492075690378,269578240
58,Thu Apr 13 11:28:10 CEST 2017,1492075690578,269578240
59,Thu Apr 13 11:28:10 CEST 2017,1492075690778,269578240
60,Thu Apr 13 11:28:10 CEST 2017,1492075690978,263122944
61,Thu Apr 13 11:28:11 CEST 2017,1492075691178,263122944
62,Thu Apr 13 11:28:11 CEST 2017,1492075691378,263122944
63,Thu Apr 13 11:28:11 CEST 2017,1492075691578,263122944
64,Thu Apr 13 11:28:11 CEST 2017,1492075691778,263151616
65,Thu Apr 13 11:28:11 CEST 2017,1492075691978,263270400
66,Thu Apr 13 11:28:12 CEST 2017,1492075692178,263270400
67,Thu Apr 13 11:28:12 CEST 2017,1492075692378,263270400
68,Thu Apr 13 11:28:12 CEST 2017,1492075692578,263270400
69,Thu Apr 13 11:28:12 CEST 2017,1492075692778,263270400
70,Thu Apr 13 11:28:12 CEST 2017,1492075692978,262594560
71,Thu Apr 13 11:28:13 CEST 2017,1492075693178,263196672
72,Thu Apr 13 11:28:13 CEST 2017,1492075693378,263196672
73,Thu Apr 13 11:28:13 CEST 2017,1492075693578,263196672
74,Thu Apr 13 11:28:13 CEST 2017,1492075693778,263196672
75,Thu Apr 13 11:28:13 CEST 2017,1492075693978,263196672
