#,datetime,ms,OperatingSystemImpl.CommittedVirtualMemorySize
101,Thu Apr 13 11:26:28 CEST 2017,1492075588438,266375168
102,Thu Apr 13 11:26:28 CEST 2017,1492075588638,265310208
103,Thu Apr 13 11:26:28 CEST 2017,1492075588838,265310208
104,Thu Apr 13 11:26:29 CEST 2017,1492075589038,265310208
105,Thu Apr 13 11:26:29 CEST 2017,1492075589238,265310208
106,Thu Apr 13 11:26:29 CEST 2017,1492075589438,265310208
107,Thu Apr 13 11:26:29 CEST 2017,1492075589638,265310208
108,Thu Apr 13 11:26:29 CEST 2017,1492075589838,265146368
109,Thu Apr 13 11:26:30 CEST 2017,1492075590038,265146368
110,Thu Apr 13 11:26:30 CEST 2017,1492075590238,265146368
111,Thu Apr 13 11:26:30 CEST 2017,1492075590438,265146368
112,Thu Apr 13 11:26:30 CEST 2017,1492075590638,265146368
113,Thu Apr 13 11:26:30 CEST 2017,1492075590838,265146368
114,Thu Apr 13 11:26:31 CEST 2017,1492075591038,265150464
115,Thu Apr 13 11:26:31 CEST 2017,1492075591238,265150464
116,Thu Apr 13 11:26:31 CEST 2017,1492075591438,265150464
117,Thu Apr 13 11:26:31 CEST 2017,1492075591638,265224192
118,Thu Apr 13 11:26:31 CEST 2017,1492075591838,265224192
119,Thu Apr 13 11:26:32 CEST 2017,1492075592038,265224192
120,Thu Apr 13 11:26:32 CEST 2017,1492075592238,265224192
121,Thu Apr 13 11:26:32 CEST 2017,1492075592438,265224192
122,Thu Apr 13 11:26:32 CEST 2017,1492075592638,263745536
123,Thu Apr 13 11:26:32 CEST 2017,1492075592838,263745536
124,Thu Apr 13 11:26:33 CEST 2017,1492075593038,263745536
125,Thu Apr 13 11:26:33 CEST 2017,1492075593238,263946240
