#,datetime,ms,OperatingSystemImpl.FreeSwapSpaceSize
1,Thu Apr 13 11:28:09 CEST 2017,1492075689178,2582552576
2,Thu Apr 13 11:28:09 CEST 2017,1492075689378,2582433792
3,Thu Apr 13 11:28:09 CEST 2017,1492075689578,2582089728
4,Thu Apr 13 11:28:09 CEST 2017,1492075689778,2582077440
5,Thu Apr 13 11:28:09 CEST 2017,1492075689978,2582003712
6,Thu Apr 13 11:28:10 CEST 2017,1492075690178,2581995520
7,Thu Apr 13 11:28:10 CEST 2017,1492075690378,2578014208
8,Thu Apr 13 11:28:10 CEST 2017,1492075690578,2577895424
9,Thu Apr 13 11:28:10 CEST 2017,1492075690778,2577887232
10,Thu Apr 13 11:28:10 CEST 2017,1492075690978,2583801856
11,Thu Apr 13 11:28:11 CEST 2017,1492075691178,2583433216
12,Thu Apr 13 11:28:11 CEST 2017,1492075691378,2583990272
13,Thu Apr 13 11:28:11 CEST 2017,1492075691578,2583908352
14,Thu Apr 13 11:28:11 CEST 2017,1492075691778,2583900160
15,Thu Apr 13 11:28:11 CEST 2017,1492075691978,2583883776
16,Thu Apr 13 11:28:12 CEST 2017,1492075692178,2583867392
17,Thu Apr 13 11:28:12 CEST 2017,1492075692378,2584215552
18,Thu Apr 13 11:28:12 CEST 2017,1492075692578,2584174592
19,Thu Apr 13 11:28:12 CEST 2017,1492075692778,2584166400
20,Thu Apr 13 11:28:12 CEST 2017,1492075692978,2584793088
21,Thu Apr 13 11:28:13 CEST 2017,1492075693178,2584776704
22,Thu Apr 13 11:28:13 CEST 2017,1492075693378,2584784896
23,Thu Apr 13 11:28:13 CEST 2017,1492075693578,2584768512
24,Thu Apr 13 11:28:13 CEST 2017,1492075693778,2584752128
25,Thu Apr 13 11:28:13 CEST 2017,1492075693978,2584743936
