#,datetime,ms,OperatingSystemImpl.ProcessCpuLoad
101,Thu Apr 13 11:28:09 CEST 2017,1492075689178,0.1330895500718827
102,Thu Apr 13 11:28:09 CEST 2017,1492075689378,0.1330895500718827
103,Thu Apr 13 11:28:09 CEST 2017,1492075689578,0.24440182945523026
104,Thu Apr 13 11:28:09 CEST 2017,1492075689778,0.24440182945523026
105,Thu Apr 13 11:28:09 CEST 2017,1492075689978,0.24440182945523026
106,Thu Apr 13 11:28:10 CEST 2017,1492075690178,0.11947967779187792
107,Thu Apr 13 11:28:10 CEST 2017,1492075690378,0.11947967779187792
108,Thu Apr 13 11:28:10 CEST 2017,1492075690578,0.11947967779187792
109,Thu Apr 13 11:28:10 CEST 2017,1492075690778,0.11120234762232739
110,Thu Apr 13 11:28:10 CEST 2017,1492075690978,0.11120234762232739
111,Thu Apr 13 11:28:11 CEST 2017,1492075691178,0.11120234762232739
112,Thu Apr 13 11:28:11 CEST 2017,1492075691378,0.10402001578108462
113,Thu Apr 13 11:28:11 CEST 2017,1492075691578,0.10402001578108462
114,Thu Apr 13 11:28:11 CEST 2017,1492075691778,0.10402001578108462
115,Thu Apr 13 11:28:11 CEST 2017,1492075691978,0.11168956788110351
116,Thu Apr 13 11:28:12 CEST 2017,1492075692178,0.11168956788110351
117,Thu Apr 13 11:28:12 CEST 2017,1492075692378,0.11168956788110351
118,Thu Apr 13 11:28:12 CEST 2017,1492075692578,0.10304491967112678
119,Thu Apr 13 11:28:12 CEST 2017,1492075692778,0.10304491967112678
120,Thu Apr 13 11:28:12 CEST 2017,1492075692978,0.10304491967112678
121,Thu Apr 13 11:28:13 CEST 2017,1492075693178,0.11087331061423543
122,Thu Apr 13 11:28:13 CEST 2017,1492075693378,0.11087331061423543
123,Thu Apr 13 11:28:13 CEST 2017,1492075693578,0.11087331061423543
124,Thu Apr 13 11:28:13 CEST 2017,1492075693778,0.11028144863635042
125,Thu Apr 13 11:28:13 CEST 2017,1492075693978,0.11028144863635042
