#,datetime,ms,OperatingSystemImpl.ProcessCpuTime
76,Thu Apr 13 11:28:09 CEST 2017,1492075689178,7562500000
77,Thu Apr 13 11:28:09 CEST 2017,1492075689378,7671875000
78,Thu Apr 13 11:28:09 CEST 2017,1492075689578,7781250000
79,Thu Apr 13 11:28:09 CEST 2017,1492075689778,7875000000
80,Thu Apr 13 11:28:09 CEST 2017,1492075689978,7953125000
81,Thu Apr 13 11:28:10 CEST 2017,1492075690178,8062500000
82,Thu Apr 13 11:28:10 CEST 2017,1492075690378,8140625000
83,Thu Apr 13 11:28:10 CEST 2017,1492075690578,8234375000
84,Thu Apr 13 11:28:10 CEST 2017,1492075690778,8328125000
85,Thu Apr 13 11:28:10 CEST 2017,1492075690978,8406250000
86,Thu Apr 13 11:28:11 CEST 2017,1492075691178,8484375000
87,Thu Apr 13 11:28:11 CEST 2017,1492075691378,8578125000
88,Thu Apr 13 11:28:11 CEST 2017,1492075691578,8656250000
89,Thu Apr 13 11:28:11 CEST 2017,1492075691778,8750000000
90,Thu Apr 13 11:28:11 CEST 2017,1492075691978,8843750000
91,Thu Apr 13 11:28:12 CEST 2017,1492075692178,8921875000
92,Thu Apr 13 11:28:12 CEST 2017,1492075692378,9000000000
93,Thu Apr 13 11:28:12 CEST 2017,1492075692578,9093750000
94,Thu Apr 13 11:28:12 CEST 2017,1492075692778,9187500000
95,Thu Apr 13 11:28:12 CEST 2017,1492075692978,9265625000
96,Thu Apr 13 11:28:13 CEST 2017,1492075693178,9359375000
97,Thu Apr 13 11:28:13 CEST 2017,1492075693378,9437500000
98,Thu Apr 13 11:28:13 CEST 2017,1492075693578,9515625000
99,Thu Apr 13 11:28:13 CEST 2017,1492075693778,9625000000
100,Thu Apr 13 11:28:13 CEST 2017,1492075693978,9718750000
