#,datetime,ms,OperatingSystemImpl.CommittedVirtualMemorySize
1,Fri Apr 14 12:09:20 CEST 2017,1492164560164,268210176
2,Fri Apr 14 12:09:20 CEST 2017,1492164560364,267071488
3,Fri Apr 14 12:09:20 CEST 2017,1492164560564,267055104
4,Fri Apr 14 12:09:20 CEST 2017,1492164560764,267055104
5,Fri Apr 14 12:09:20 CEST 2017,1492164560964,267055104
6,Fri Apr 14 12:09:21 CEST 2017,1492164561164,267055104
7,Fri Apr 14 12:09:21 CEST 2017,1492164561364,267055104
8,Fri Apr 14 12:09:21 CEST 2017,1492164561564,267055104
9,Fri Apr 14 12:09:21 CEST 2017,1492164561764,267055104
10,Fri Apr 14 12:09:21 CEST 2017,1492164561964,267055104
11,Fri Apr 14 12:09:22 CEST 2017,1492164562164,267055104
12,Fri Apr 14 12:09:22 CEST 2017,1492164562364,267055104
13,Fri Apr 14 12:09:22 CEST 2017,1492164562564,267055104
14,Fri Apr 14 12:09:22 CEST 2017,1492164562764,267055104
15,Fri Apr 14 12:09:22 CEST 2017,1492164562964,267055104
16,Fri Apr 14 12:09:23 CEST 2017,1492164563164,267055104
17,Fri Apr 14 12:09:23 CEST 2017,1492164563364,267055104
18,Fri Apr 14 12:09:23 CEST 2017,1492164563564,267055104
19,Fri Apr 14 12:09:23 CEST 2017,1492164563764,263716864
20,Fri Apr 14 12:09:23 CEST 2017,1492164563964,265994240
21,Fri Apr 14 12:09:24 CEST 2017,1492164564164,265994240
22,Fri Apr 14 12:09:24 CEST 2017,1492164564364,265994240
23,Fri Apr 14 12:09:24 CEST 2017,1492164564564,265994240
24,Fri Apr 14 12:09:24 CEST 2017,1492164564764,265994240
25,Fri Apr 14 12:09:24 CEST 2017,1492164564964,265994240
26,Fri Apr 14 12:09:25 CEST 2017,1492164565164,265994240
