#,datetime,ms,OperatingSystemImpl.FreeSwapSpaceSize
1,Fri Apr 14 12:09:20 CEST 2017,1492164560164,1880440832
2,Fri Apr 14 12:09:20 CEST 2017,1492164560364,1642799104
3,Fri Apr 14 12:09:20 CEST 2017,1492164560564,1641910272
4,Fri Apr 14 12:09:20 CEST 2017,1492164560764,1641934848
5,Fri Apr 14 12:09:20 CEST 2017,1492164560964,1641795584
6,Fri Apr 14 12:09:21 CEST 2017,1492164561164,1641730048
7,Fri Apr 14 12:09:21 CEST 2017,1492164561364,1641959424
8,Fri Apr 14 12:09:21 CEST 2017,1492164561564,1642815488
9,Fri Apr 14 12:09:21 CEST 2017,1492164561764,1643261952
10,Fri Apr 14 12:09:21 CEST 2017,1492164561964,1642332160
11,Fri Apr 14 12:09:22 CEST 2017,1492164562164,1638440960
12,Fri Apr 14 12:09:22 CEST 2017,1492164562364,1638985728
13,Fri Apr 14 12:09:22 CEST 2017,1492164562564,1639305216
14,Fri Apr 14 12:09:22 CEST 2017,1492164562764,1638739968
15,Fri Apr 14 12:09:22 CEST 2017,1492164562964,1639018496
16,Fri Apr 14 12:09:23 CEST 2017,1492164563164,1636417536
17,Fri Apr 14 12:09:23 CEST 2017,1492164563364,1640005632
18,Fri Apr 14 12:09:23 CEST 2017,1492164563564,1640566784
19,Fri Apr 14 12:09:23 CEST 2017,1492164563764,1643864064
20,Fri Apr 14 12:09:23 CEST 2017,1492164563964,1641426944
21,Fri Apr 14 12:09:24 CEST 2017,1492164564164,1641361408
22,Fri Apr 14 12:09:24 CEST 2017,1492164564364,1641295872
23,Fri Apr 14 12:09:24 CEST 2017,1492164564564,1641222144
24,Fri Apr 14 12:09:24 CEST 2017,1492164564764,1641189376
25,Fri Apr 14 12:09:24 CEST 2017,1492164564964,1641074688
26,Fri Apr 14 12:09:25 CEST 2017,1492164565164,1641025536
