#,datetime,ms,OperatingSystemImpl.ProcessCpuLoad
1,Fri Apr 14 12:09:20 CEST 2017,1492164560164,0.12075958876218351
2,Fri Apr 14 12:09:20 CEST 2017,1492164560364,0.12075958876218351
3,Fri Apr 14 12:09:20 CEST 2017,1492164560564,0.12075958876218351
4,Fri Apr 14 12:09:20 CEST 2017,1492164560764,0.127419905664418
5,Fri Apr 14 12:09:20 CEST 2017,1492164560964,0.127419905664418
6,Fri Apr 14 12:09:21 CEST 2017,1492164561164,0.127419905664418
7,Fri Apr 14 12:09:21 CEST 2017,1492164561364,0.0996742549660425
8,Fri Apr 14 12:09:21 CEST 2017,1492164561564,0.0996742549660425
9,Fri Apr 14 12:09:21 CEST 2017,1492164561764,0.0996742549660425
10,Fri Apr 14 12:09:21 CEST 2017,1492164561964,0.09681873566359797
11,Fri Apr 14 12:09:22 CEST 2017,1492164562164,0.09681873566359797
12,Fri Apr 14 12:09:22 CEST 2017,1492164562364,0.09681873566359797
13,Fri Apr 14 12:09:22 CEST 2017,1492164562564,0.09316030062051787
14,Fri Apr 14 12:09:22 CEST 2017,1492164562764,0.09316030062051787
15,Fri Apr 14 12:09:22 CEST 2017,1492164562964,0.09316030062051787
16,Fri Apr 14 12:09:23 CEST 2017,1492164563164,0.0933368091463263
17,Fri Apr 14 12:09:23 CEST 2017,1492164563364,0.0933368091463263
18,Fri Apr 14 12:09:23 CEST 2017,1492164563564,0.0933368091463263
19,Fri Apr 14 12:09:23 CEST 2017,1492164563764,0.08352047401883128
20,Fri Apr 14 12:09:23 CEST 2017,1492164563964,0.08352047401883128
21,Fri Apr 14 12:09:24 CEST 2017,1492164564164,0.08352047401883128
22,Fri Apr 14 12:09:24 CEST 2017,1492164564364,0.0997042585576564
23,Fri Apr 14 12:09:24 CEST 2017,1492164564564,0.0997042585576564
24,Fri Apr 14 12:09:24 CEST 2017,1492164564764,0.0997042585576564
25,Fri Apr 14 12:09:24 CEST 2017,1492164564964,0.10569396203371417
26,Fri Apr 14 12:09:25 CEST 2017,1492164565164,0.10569396203371417
