#,datetime,OperatingSystemImpl.ProcessCpuTime,OperatingSystemImpl.ProcessCpuLoad,OperatingSystemImpl.FreeSwapSpaceSize,OperatingSystemImpl.FreePhysicalMemorySize,OperatingSystemImpl.CommittedVirtualMemorySize
1,Thu Apr 13 09:28:59 CEST 2017,7250000000,0.03562960079049235,3749879808,3531128832,267911168
2,Thu Apr 13 09:28:59 CEST 2017,7359375000,0.03562960079049235,3751464960,3531309056,267976704
3,Thu Apr 13 09:29:00 CEST 2017,7453125000,0.24387989596932605,3751530496,3531337728,267976704
4,Thu Apr 13 09:29:00 CEST 2017,7531250000,0.24387989596932605,3751616512,3531350016,267976704
5,Thu Apr 13 09:29:00 CEST 2017,7609375000,0.24387989596932605,3751677952,3531354112,267976704
6,Thu Apr 13 09:29:00 CEST 2017,7703125000,0.10414222795717272,3751677952,3531354112,267976704
7,Thu Apr 13 09:29:00 CEST 2017,7781250000,0.10414222795717272,3751866368,3531345920,267976704
8,Thu Apr 13 09:29:01 CEST 2017,7875000000,0.10414222795717272,3751919616,3531354112,267976704
9,Thu Apr 13 09:29:01 CEST 2017,7984375000,0.11733874964829666,3752411136,3531354112,267976704
10,Thu Apr 13 09:29:01 CEST 2017,8062500000,0.11733874964829666,3752411136,3531354112,267976704
11,Thu Apr 13 09:29:01 CEST 2017,8140625000,0.11733874964829666,3752407040,3531378688,267976704
12,Thu Apr 13 09:29:01 CEST 2017,8234375000,0.09782713770504775,3752407040,3531378688,267976704
13,Thu Apr 13 09:29:02 CEST 2017,8312500000,0.09782713770504775,3752407040,3531370496,267976704
14,Thu Apr 13 09:29:02 CEST 2017,8390625000,0.09782713770504775,3752407040,3531350016,267980800
15,Thu Apr 13 09:29:02 CEST 2017,8500000000,0.11640664423050179,3752407040,3531374592,267980800
16,Thu Apr 13 09:29:02 CEST 2017,8578125000,0.11640664423050179,3752574976,3531374592,267980800
17,Thu Apr 13 09:29:02 CEST 2017,8671875000,0.11640664423050179,3751579648,3531374592,267980800
18,Thu Apr 13 09:29:03 CEST 2017,8812500000,0.12265428103082661,3749310464,3530514432,267980800
19,Thu Apr 13 09:29:03 CEST 2017,8906250000,0.12265428103082661,3752161280,3530317824,267980800
20,Thu Apr 13 09:29:03 CEST 2017,8984375000,0.12265428103082661,3752304640,3530317824,267980800
21,Thu Apr 13 09:29:03 CEST 2017,9093750000,0.1232178212443033,3757355008,3530346496,263794688
22,Thu Apr 13 09:29:03 CEST 2017,9171875000,0.1232178212443033,3756351488,3530338304,263991296
23,Thu Apr 13 09:29:04 CEST 2017,9250000000,0.1232178212443033,3756556288,3530330112,263991296
24,Thu Apr 13 09:29:04 CEST 2017,9359375000,0.11275562044053414,3756556288,3530334208,263991296
25,Thu Apr 13 09:29:04 CEST 2017,9437500000,0.11275562044053414,3756556288,3530321920,264003584
