#,datetime,ms,OperatingSystemImpl.ProcessCpuTime
1,Fri Apr 14 12:09:14 CEST 2017,1492164554881,2828125000
2,Fri Apr 14 12:09:15 CEST 2017,1492164555081,2890625000
3,Fri Apr 14 12:09:15 CEST 2017,1492164555281,2984375000
4,Fri Apr 14 12:09:15 CEST 2017,1492164555481,3062500000
5,Fri Apr 14 12:09:15 CEST 2017,1492164555681,3125000000
6,Fri Apr 14 12:09:15 CEST 2017,1492164555881,3203125000
7,Fri Apr 14 12:09:16 CEST 2017,1492164556081,3250000000
8,Fri Apr 14 12:09:16 CEST 2017,1492164556281,3343750000
9,Fri Apr 14 12:09:16 CEST 2017,1492164556481,3421875000
10,Fri Apr 14 12:09:16 CEST 2017,1492164556681,3500000000
11,Fri Apr 14 12:09:16 CEST 2017,1492164556881,3593750000
12,Fri Apr 14 12:09:17 CEST 2017,1492164557081,3671875000
13,Fri Apr 14 12:09:17 CEST 2017,1492164557281,3750000000
14,Fri Apr 14 12:09:17 CEST 2017,1492164557481,3796875000
15,Fri Apr 14 12:09:17 CEST 2017,1492164557681,3875000000
16,Fri Apr 14 12:09:17 CEST 2017,1492164557881,3937500000
17,Fri Apr 14 12:09:18 CEST 2017,1492164558081,4000000000
18,Fri Apr 14 12:09:18 CEST 2017,1492164558281,4062500000
19,Fri Apr 14 12:09:18 CEST 2017,1492164558481,4109375000
20,Fri Apr 14 12:09:18 CEST 2017,1492164558681,4218750000
21,Fri Apr 14 12:09:18 CEST 2017,1492164558881,4296875000
22,Fri Apr 14 12:09:19 CEST 2017,1492164559081,4375000000
23,Fri Apr 14 12:09:19 CEST 2017,1492164559281,4437500000
24,Fri Apr 14 12:09:19 CEST 2017,1492164559481,4531250000
25,Fri Apr 14 12:09:19 CEST 2017,1492164559681,4640625000
26,Fri Apr 14 12:09:19 CEST 2017,1492164559881,4718750000
