#,datetime,ms,OperatingSystemImpl.FreePhysicalMemorySize
1,Fri Apr 14 12:09:14 CEST 2017,1492164554881,2021392384
2,Fri Apr 14 12:09:15 CEST 2017,1492164555081,2013814784
3,Fri Apr 14 12:09:15 CEST 2017,1492164555281,2013601792
4,Fri Apr 14 12:09:15 CEST 2017,1492164555481,2013581312
5,Fri Apr 14 12:09:15 CEST 2017,1492164555681,2013560832
6,Fri Apr 14 12:09:15 CEST 2017,1492164555881,2013519872
7,Fri Apr 14 12:09:16 CEST 2017,1492164556081,2013470720
8,Fri Apr 14 12:09:16 CEST 2017,1492164556281,2013478912
9,Fri Apr 14 12:09:16 CEST 2017,1492164556481,2012094464
10,Fri Apr 14 12:09:16 CEST 2017,1492164556681,2012094464
11,Fri Apr 14 12:09:16 CEST 2017,1492164556881,2012094464
12,Fri Apr 14 12:09:17 CEST 2017,1492164557081,2012278784
13,Fri Apr 14 12:09:17 CEST 2017,1492164557281,2012278784
14,Fri Apr 14 12:09:17 CEST 2017,1492164557481,2011971584
15,Fri Apr 14 12:09:17 CEST 2017,1492164557681,2012217344
16,Fri Apr 14 12:09:17 CEST 2017,1492164557881,2012217344
17,Fri Apr 14 12:09:18 CEST 2017,1492164558081,2012213248
18,Fri Apr 14 12:09:18 CEST 2017,1492164558281,2012225536
19,Fri Apr 14 12:09:18 CEST 2017,1492164558481,2011967488
20,Fri Apr 14 12:09:18 CEST 2017,1492164558681,2012143616
21,Fri Apr 14 12:09:18 CEST 2017,1492164558881,2012168192
22,Fri Apr 14 12:09:19 CEST 2017,1492164559081,2011766784
23,Fri Apr 14 12:09:19 CEST 2017,1492164559281,2011705344
24,Fri Apr 14 12:09:19 CEST 2017,1492164559481,2011705344
25,Fri Apr 14 12:09:19 CEST 2017,1492164559681,2011705344
26,Fri Apr 14 12:09:19 CEST 2017,1492164559881,2011688960
